SUPPCODE,DESC,PRICE1,LSTCST
"            1762","ROCKSTAR 500ML","3.50","2.00"
"            4652","ALLGANICS COLA 330ML","3.50","1.97"
"14192-133C","SCALES CONSTANT 100G X 0.01G","24.99","8.70"
"14192-632C","SCALES CONSTANT 100G X 0.01G","39.99","10.43"
"14192-182C","SCALES CONSTANT 1000G X 0.1G","39.99","13.91"
"MH340","SHARPSTONE SIFTER","50.00","20.00"
"","TRAY - MED RAW","19.99","9.90"
"          128613","SCREAMING O RINGO RANGER","5.99","2.46"
"            2926","PJUR ANAL GLIDE 30ML","16.99","5.94"
"          171053","CAL LEOPARD MINI VIBE","38.99","13.33"
"          128575","SCREAMING O THE BIG O","29.99","10.35"
"          221855","SATISFYER SPARKLING DARLING","94.99","32.62"
"          134120","DJ ANAL GLIDE 96G","44.99","16.23"
"          166166","CLIMAX NEON VIBE","65.99","22.61"
"            6210","CAL TURBO GLIDER","26.99","9.23"
"          110018","PUMPWORX DELUXE AUTO-VAC PUMP","159.99","56.25"
"          164993","COLT DBL DOWN MASTURBATOR","39.99","13.47"
"          101062","FETISH VIBRATING PUSSY PUMP","96.99","33.75"
"          196385","DILLIO MR. SMOOTHY","25.99","8.75"
"          122353","CLEAN STREAM SHOWER ENEMA","99.99","46.61"
"          187883","ROCKS-OFF RO-90MM 10 SPEED","45.99","15.79"
"          198649","CAL ENTICE ISABELLA VIBE","99.99","35.00"
"          204274","SATISFYER NUMBER 2","94.99","32.75"
"            6825","CAL DUAL HARNESS","176.99","61.54"
"           92975","VAC-U-LOCK 6'' ULTRA HARNESS","189.99","67.32"
"           94975","BUTTERFLY COCK/BALL HARNESS","26.99","9.31"
"           20770","BASIX 8'' SUCTION CUP DONG","50.99","17.50"
"          172535","SWISS NAVY AROUSAL GEL 118ML","54.99","0.00"
"           66079","SCALES THE MINII 100G X 0.01G","29.99","13.00"
"           75240","MARIJUANA LEAF EARRINGS","14.99","6.00"
"           25186","STUDDED CHOKER","11.99","4.00"
"CN-711845314","RUBICON VIBES ASS.","44.99","15.50"
"          196464","CAL CHEAP THRILLS ASST.","44.99","12.00"
"           10688","MJ CS RASPBERY BERLINER WEISSE","56.99","23.10"
"           10421","MJ BLONDE LAGER POUCH","30.99","16.28"
"SP910","RAW FILTER BLK TIPS","3.50","0.75"
"           50239","SS BOTANICAL BASKET","76.99","41.23"
"","BRUSH BLK/WHITE MINI","2.50","0.00"
"","SMOK TFV8 V8-T8 0.15OHM 3PK","30.00","12.35"
"QUICK10","QUICK WHIP CREAM CHARGERS 10PK","20.00","7.00"
"EFEST-LUSH-BOX","CHARGER EFEST LUSH BOX","49.99","19.09"
"           45460","VH HEAT SHRINK CAPSULES 30PK","12.50","3.97"
"SC121","SCALES AWS V2-600 600G X 0.1G","29.99","6.00"
"          243781","SATISFYER ROYAL ONE RING","119.99","40.85"
"          216908","SATISFYER POWER BALLS SET","89.99","31.11"
"          216898","SATISFYER MISTER RABBIT","149.99","51.86"
"          196484","CAL REMOTE PETITE PANTY TEASER","169.99","59.77"
"           20193","FETISH BEGINNER FURRY CUFFS","29.99","9.91"
"            7555","FETISH DESIGNER CUFFS","32.99","11.31"
"            7567","FETISH NIPPLE SUCKERS","61.99","21.42"
"171009","FIRST TIME TRAVEL TEASER KIT","33.99","11.80"
"          134593","DJ PLUMP ENHANCING CREAM 56G","27.99","9.76"
"           19593","BASIX 6.5' SUCTION CUP DONG","35.99","12.50"
"          141057","CAL NIPPLE SUCKERS","16.99","5.83"
"          140211","CAL SILICONE NIPPLE SUCKERS","27.99","9.58"
"          205793","ROCKS-OFF JOYCICLES","59.99","19.99"
"            6493","PJUR WOMAN NUDE LUBE 100ML","29.99","12.08"
"          163327","QUICKIE MED/LRG CUFFS","27.99","9.74"
"           20723","PUMPWORX BEGINNER'S POWER PUMP","79.99","28.04"
"          132986","CARDS HUMP THE GAME","29.99","10.00"
"           21760","GRINDER 4PC LEAF PRINT","35.00","14.30"
"           10637","MJ CS YEAST M66 HOPHEAD ALE","9.99","4.82"
"           10610","MJ CS YEAST M12 KVEIK","10.99","6.64"
"           30320","SS SR CREAM LIQUEUR BASE 215G","8.99","5.00"
"CN-731496332","HI-BASIC HEART GEM ANAL PLUG","44.99","15.00"
"F0PS274","MINI VINE 5' VIBE","27.99","9.50"
"FPBF358","SILICONE BENDABLE BUDDY VIBE","51.99","18.00"
"","CBDph MOISTURIZER 150MG 100ML","124.20","75.00"
"","CBDph MOISTURIZER 250MG 100ML","154.20","75.00"
"","NAIL GLASS","35.00","0.00"
"H3006","SU PEACH VODKA 50ML","7.50","3.00"
"BN703","BOTANNIX ELDERFLOWER GIN 50ML","7.90","4.00"
"BN702","BOTANNIX CITRUS GIN 50ML","7.90","3.00"
"BN705","BOTANNIX SLOE GIN 50ML","7.90","3.00"
"BN704","BOTANNIX PINK GIN 50ML","7.90","4.00"
"BN706","BOTANNIX STRAWBERRY GIN 50ML","7.90","3.00"
"PHA038","EXTRA RUSH SPRAY 15ML","50.00","10.00"
"           40375","HOSE BEER 5MM X 5M","19.99","8.60"
"           41061","MJ 19L KEG","224.99","100.28"
"           41028","CO2 CYLINDER","299.99","185.00"
"","FAT KIWI SUB-OHM TANK","19.99","0.00"
"","VAPORESSO GEN WITH SKRR-S KIT","99.99","0.00"
"","VAPORESSO QF MSH 0.2 COILS 3PK","25.00","0.00"
"","VAPORESSO QF MSH O.2 SNG COIL","10.00","0.00"
"","STORAGE BOX WOODEN","15.00","0.00"
"","STORAGE BOX WOODEN SML","7.50","0.00"
"","POUCH DOMINGO DOME","15.00","0.00"
"MV-S&B-011","S & B MIGHTY SEAL RING SET","19.99","8.20"
"GKS012","KIWIS VERSUS MORALITY EXP PACK","29.99","10.70"
"TP638","POUCH LEATHER W/DOME/ZIP","54.99","25.00"
"ZIP1618","ZIPPO SLIM BLACK MATTE","79.99","28.89"
"           27791","SCALES EXECUTIVE 50G X 0.01G","44.99","17.51"
"VN44DA","HOOKAH 1H CASE 425H SKULL/DRAG","90.00","24.00"
"PD6309-02","ICE TRAY BACH DICKY 5PC","12.99","4.50"
"PD6305-00","ICE TRAY LIL' CHUBBY PECKER","14.99","5.35"
"          243754","SATISFYER MONO FLEX VIBE","164.99","57.19"
"          125771","SCREAMING O FINGO TIPS","16.99","5.78"
"          205826","SCREAMING O RINGO PRO X3","19.99","6.95"
"          110112","FETISH LUV CUFFS","28.99","10.00"
"          244310","SHARE SAT ASST. EGG","19.99","5.99"
"            4653","ALLGANICS GINGER BEER 330ML","3.50","1.97"
"            1557","V CAN SF BLUE 250ML","3.50","0.98"
"H251","BM CIDER YEAST 10GM","7.00","3.50"
"H324","NYLON HOP BAG","5.00","2.00"
"H777","TAP 8MM WITH BACKING NUT","13.50","7.60"
"           21713","GRINDER 4PC AMSTERDAM GIFT SET","37.50","5.22"
"           21770","GRINDER 4PC SAB/BACKWOOD ASST.","30.00","8.07"
"           50507","GLOVES TIGER","5.00","0.95"
"","AIRISTECH 8 DIP & DAB KIT","44.99","19.99"
"","FOCUS AERO CONVECTION VAPE","279.99","119.57"
"           32047","MJ HOPS USA SIMCOE 100G","18.99","10.13"
"           32057","MJ HOPS USA CENTENNIAL 100G","17.99","10.50"
"           32098","MJ HOPS USA AMARILLO 100G","18.50","10.46"
"           32097","MJ HOPS USA MOSAIC 100G","22.99","13.53"
"           10692","SS FILTER PRO KIT","199.99","130.78"
"           55429","THE SAMPLER WINETHIEF PLASTIC","19.99","7.48"
"           10748","MJ CIDER ENHANCER 1.25KG","19.99","12.03"
"           10822","SS FILTER PRO DOOR BRACKET","18.99","8.95"
"           10821","SS FILTER PRO WALL BRACKET","9.99","4.50"
"WW 00009","SUPREME WHIP CREAM CHARGERS 10","20.00","6.60"
"      1000108482","VOOPOO DRAG X KIT","69.99","38.55"
"","VOOPOO TPP-DM1/2 COILS 3PK","25.00","10.55"
"","VOOPOO TPP-DM1/2 COIL SNGL","10.00","4.05"
"COI-VOO-PNP-VM1","VOOPOO PNP-VM1-6 COILS 5PK","30.00","14.03"
"","VOOPOO PNP-VM1-6 SNGL","7.50","3.47"
"BM153","BM PREMIUM BREWBLEND 10 1KG","12.90","6.50"
"          216914","SATISFYER PRO DELUXE","94.99","41.51"
"          215482","EVERYGIRL VIBE","109.99","38.42"
"          134101","DJ JAPANESE STYLE BONDAGE ROPE","39.99","12.64"
"          157924","CAL HERS KEGEL KIT","97.99","33.92"
"140149","CAL CHIC CURVE 8-FUNCTION","67.99","23.50"
"          210257","CAL REMOTE PANTY PLEASER","139.99","47.10"
"          196485","CAL LOCK-N-PLAY PANTY","179.99","62.31"
"          171845","SHANES WORLD SPARKLE VIBE","19.99","6.31"
"          207320","VULCAN DEEP THROAT W VIBRATION","59.99","20.23"
"          196896","CYBERSKIN POP A PET/PUSSY","49.99","16.85"
"          165358","CYBERSKIN PUSSY & ASS STROKER","89.99","32.08"
"          167720","CYBERSKIN STEALTH DBL STROKER","135.99","47.31"
"          207277","CEASAR LOVE MACHINE ATTACHMENT","77.99","27.00"
"          207278","CEASAR MALE ATTACHMENT","138.99","48.15"
"","SWISS NAVY PEPPERMINT 10ML","5.00","0.00"
"SP932","BOOM FLAVORED HEMP TIPS","5.00","1.72"
"          118702","THE CEASAR 20 LOVE MACHINE","999.99","560.99"
"           68437","ARDENT FLEX PRECISION HEATER","899.99","450.00"
"MOD-GKV-ABOOPRO","GEEKVAPE AEGIS BOOST PRO KIT","79.99","44.74"
"           42465","MAGICAL BUTTER MACHINE","399.99","245.00"
"","BOUNDLESS TERA VAPE","399.99","208.70"
"VK022","BOUNDLESS CFX VAPE","324.99","184.00"
"EEC","SEX EXTRA ENERGY COFFEE SACHET","45.00","19.50"
"          196549","CYBERSKIN DELUXE VIBE STROKER","154.99","54.08"
"          165313","CYBERSKIN DBL STROKER","126.99","43.92"
"          165298","CYBERSKIN CALENDAR GIRL STOKER","97.99","33.77"
"           86524","DUREX PERFECT GLIDE LUBE 50ML","37.99","13.46"
"          217349","KY WARMING LIQUID 71G","37.99","13.20"
"          133046","CARDS WHITE-TRASH ROUNDUP!","12.99","4.54"
"          138764","CAL BOUNDING BUNNY VIBE","76.99","26.54"
"          126696","CAL STUD OVER & UNDER","58.99","20.87"
"          175231","JO ARCTIC CLITORAL GEL 10ML","54.99","18.86"
"          215164","SCREAMING O WORK-IT! COCK RING","84.99","42.88"
"          198330","CARDS INTIMATE DARES","29.99","10.58"
"          126974","CAL DBL DANCER VIBE","59.99","20.58"
"           94592","SHANE'S WORLD NOONER VIBE","28.99","9.92"
"          204158","SATISFYER PART DBL WHALE","94.99","32.69"
"          110117","FETISH COUTURE CUFFS","28.99","10.00"
"           19254","FETISH FIRST TIMER'S CUFFS","23.99","8.13"
"          242633","DICE THE BEST SEX GAME EVER!","59.99","21.22"
"           92660","BONDAGE SEDUCTION GAME","44.99","15.75"
"          197254","CAL PRECIOUS METAL GEM","37.99","13.23"
"93121","CAL STUD POWER CLITERRIFIC","77.99","27.00"
"","GOOGLE PLAY CARD $20","20.00","17.39"
"           30321","SS TS SELECT PASSIONFRUIT GIN","14.99","7.58"
"BOV-67-62-1","BOVEDA 67 62% HUMIDITY PACK","19.99","9.50"
"           80388","SMOK RIGEL 80W MINI KIT","79.99","41.47"
"","PREZZY CARD","5.95","0.00"
"","PREZZY CARD LOAD $","100.00","86.96"
"","GO GARDENING CARD $20","20.00","0.00"
"","MITRE 10 CARD $20","20.00","0.00"
"","HUNTING & FISHING CARD $20","20.00","0.00"
"","REPCO CARD $20","20.00","0.00"
"","TORPEDO 7 CARD $20","20.00","0.00"
"","THE WAREHOUSE CARD $20","20.00","16.70"
"","NOEL LEEMING CARD $20","20.00","0.00"
"","PLAYSTATION WALLET TOP-UP $50","50.00","0.00"
"","PLAYSTATION WALLET TOP-UP $30","30.00","30.00"
"","PLAYSTATION WALLET TOP-UP $15","15.00","0.00"
"","PLAYSTATION 3MTH MEMBERSHIP","39.95","33.00"
"","ROBLOX CARD $25","25.00","21.74"
"","PLAYSTATION 12MTH MEMBERSHIP","89.95","0.00"
"","XBOX GIFT CARD $70","70.00","66.50"
"","XBOX GIFT CARD $40","40.00","38.00"
"","XBOX GIFT CARD $25","25.00","20.65"
"","GOOGLE PLAY CARD $50","50.00","0.00"
"","GOOGLE PLAY CARD $30","30.00","0.00"
"WW 00032","SUPREME WHIP CREAM CHARGERS 50","90.00","30.70"
"","APP STORE & ITUNES CARD $20","20.00","17.39"
"","APP STORE & ITUNES CARD $30","30.00","30.00"
"","APP STORE & ITUNES CARD $50","50.00","43.48"
"","STEAM CARD $20","20.00","20.00"
"","STEAM CARD $35","35.00","0.00"
"","STEAM CARD $100","100.00","95.00"
"TM358","FANTASIA HERBAL SHISHA 50G","12.50","2.61"
"           66016","MAGIC BUTTER DECARB THERMO PK","74.99","40.00"
"           68243","MAGICAL BUTTER GUMMY TRAY","34.99","18.00"
"           68244","MAGICAL BUTTER BUTTER TRAY","34.99","22.00"
"           68603","MAGICAL BUTTER ACCESSORY PK","69.99","44.00"
"           68712","ARDENT FX INFUSION PRESS","89.99","0.00"
"MH654","STASH PINECONE","14.99","7.00"
"NITECORE-I4-V2","CHARGER NITECORE I4","49.99","23.48"
"VK020","BOUNDLESS CFC 2.0 VAPORISER","174.99","73.50"
"HIP21","6OZ HIP FLASK 21ST","29.99","12.00"
"ZIP49119","ZIPPO MOSS GREEN CAN-NA-BIS","104.99","38.53"
"ZIPNZKIF","ZIPPO NZ KIWI/FLAG SB","119.99","42.70"
"BATPC","C/D BATTERY","5.00","4.41"
"","HUNDY 2PK","7.99","3.89"
"","2DEGREES $10 MOBILE TOPUP","10.00","8.70"
"","2DEGREES $15 MOBILE TOPUP","15.00","0.00"
"","2DEGREES $19 MOBILE TOPUP","19.00","0.00"
"","2DEGREES $20 MOBILE TOPUP","20.00","17.39"
"","2DEGREES $25 MOBILE TOPUP","25.00","0.00"
"","2DEGREES $30 MOBILE TOPUP","30.00","0.00"
"","2DEGREES $40 MOBILE TOPUP","40.00","0.00"
"","2DEGREES $50 MOBILE TOPUP","50.00","0.00"
"","2DEGREES $55 MOBILE TOPUP","55.00","0.00"
"","2DEGREES $60 MOBILE TOPUP","60.00","0.00"
"","2DEGREES $70 MOBILE TOPUP","70.00","0.00"
"","2DEGREES $80 MOBILE TOPUP","80.00","0.00"
"","2DEGREES $85 MOBILE TOPUP","85.00","0.00"
"","2DEGREES $90 MOBILE TOPUP","90.00","0.00"
"","2DEGREES $100 MOBILE TOPUP","100.00","0.00"
"","2DEGREES $150 MOBILE TOPUP","150.00","0.00"
"","ONE/VODAFONE $20 MOBILE TOPUP","20.00","17.39"
"","ONE/VODAFONE $25 MOBILE TOPUP","25.00","0.00"
"","ONE/VODAFONE $30 MOBILE TOPUP","30.00","0.00"
"","ONE/VODAFONE $35 MOBILE TOPUP","35.00","0.00"
"","ONE/VODAFONE $40 MOBILE TOPUP","40.00","0.00"
"","ONE/VODAFONE $50 MOBILE TOPUP","50.00","43.48"
"","ONE/VODAFONE $100 MOBILE TOPUP","100.00","0.00"
"","SPARK $10 MOBILE TOPUP","10.00","0.00"
"","SPARK $20 MOBILE TOPUP","20.00","16.65"
"","SPARK $30 MOBILE TOPUP","30.00","0.00"
"","SPARK $40 MOBILE TOPUP","40.00","0.00"
"","SPARK $50 MOBILE TOPUP","50.00","0.00"
"","SPARK $60 MOBILE TOPUP","60.00","0.00"
"","SKINNY $10 MOBILE TOPUP","10.00","0.00"
"","SKINNY $5 MOBILE TOPUP","5.00","0.00"
"","SKINNY $20 MOBILE TOPUP","20.00","16.65"
"","SKINNY $50 MOBILE TOPUP","50.00","0.00"
"          175991","PJUR MED VEGAN GLIDE LUBE","77.99","27.38"
"          226629","ROCKS-OFF NEON NIGHTS HALO","37.99","12.33"
"          234299","SATISFYER MENSTRUAL CUPS","34.99","9.83"
"          216901","SATISFYER YUMMY SUNSHINE VIBE","139.99","48.99"
"216915","SATISFYER PRO 2+","174.99","57.19"
"           10600","FETISH LOVER'S FANTASY KIT","28.99","8.75"
"          197517","CAL FOREPLAY FRENZY","74.99","26.11"
"           87102","EUPHORIA COUPLES KIT","55.99","19.41"
"           86734","VIOLET BLISS COUPLES KIT","65.99","22.78"
"          157154","FETISH BONDAGE TEASER KIT","76.99","26.82"
"          157149","FETISH TEASE-N-PLEASE KIT","77.99","27.09"
"SSF15","STAINLESS STEEL FUNNEL 15CM","14.99","4.66"
"H020","PLASTIC FUNNEL 26CM","27.99","16.20"
"H078","MESH FUNNEL FILTER","10.99","0.00"
"","CARDS AGAINST HUMANITY STORAGE","49.99","29.53"
"H006","750ML PET BOTTLE SNGL HAURAKI","2.50","1.20"
"","750ML PET BOTTLE 30PK HAURAKI","59.99","35.90"
"            1287","V CAN/BTL 500ML","4.50","2.51"
"          172680","BODYWAND PLUS G SPOT 8 PLUG-IN","263.99","31.89"
"          204272","SATISFYER PENGUIN","134.99","46.69"
"          216375","PJUR VEGAN LUBE 30ML","24.99","8.30"
"          216374","PJUR WOMAN ALOE LUBE 100ML","37.99","13.16"
"          175229","JO ATOMIC CLITORAL STIM GEL","64.99","22.50"
"          178250","BODYWAND BED OF ROSES KIT","289.99","100.80"
"          221912","SATISFYER WAND-ER WOMAN WAND","189.99","65.31"
"          216904","SATISFYER LUXURY PRET-A-PORTER","249.99","87.84"
"          217342","KY LOVE PASSION COUPLES GEL","59.99","21.79"
"          228191","ROCKS-OFF LUV WAND","144.99","50.22"
"          216900","SATISFYER POWER FLOWER","104.99","35.95"
"          216937","SATISFYER BOOTY CALL PLUGS","34.99","13.00"
"          216897","SATISFYER MASTER VIBE","164.99","57.19"
"           80396","SMOK NOVO 4 KIT","64.99","29.57"
"MH-200/0.01","SCALES POCKET 200G X 0.01G","24.99","4.34"
"SC123","SCALES AWS PV-650 650G X 0.1G","34.99","15.00"
"SC122","SCALES AWS SG-300 300G X 0.1G","39.99","22.50"
"MP230","XTRACTOR WASHING BAG","30.00","13.05"
"H296","EURO 1000 MULTISTILL 30LT","1499.99","895.00"
"VN53B","HOOKAH 2H $175 CASE PREMIUM","175.00","77.00"
"SE-1411","CAL LEATHER 3-SNAP RING","28.99","10.00"
"246809","APHROVIBE BIRDY CUTIE","80.99","27.88"
"222072","APHROVIBE CLITORAL AROUSER","83.99","28.95"
"222073","APHROVIBE G-GASM DIGGER","81.99","28.47"
"222067","APHROVIBE ROTATING MISSILE","105.99","36.61"
"241455","APHROVIBE YOURS & MINE SYNC","72.99","25.20"
"SE-4734-15","ENTICE ELIZABETH TICKLER VIBE","129.99","45.00"
"SE-1413","CAL SILICONE TRI-SNAP C&B CAGE","34.99","12.00"
"SE-6843-30","COLT LEATHER 5-SNAP C/B STRAP","42.99","15.00"
"SE-2931","CAL SILICONE KEGEL TRAINER","39.99","13.75"
"SE-6843-20","COLT LEATHER 3-SNAP C/B STRAP","35.99","9.00"
"CN-731496312","HI-BASIC FOXY ANAL TAIL PLUG","42.99","14.38"
"SE-1421","CAL TRI-RINGS","21.99","7.50"
"SE-1367","CAL LEATHER MULTI-SNAP","31.99","11.00"
"FNE020A000-010","BACK HEALTH SILICONE DOUCHE","45.99","16.00"
"           45364","VH WINE BOTTLES 12PK","34.99","15.34"
"","VH WINE BOTTLE SNGL","3.00","1.28"
"ASPIRE-POCKEX","ASPIRE POCKEX KIT","49.99","30.11"
"","UR+H CBD 1000MG","324.20","138.26"
"   6972136450995","AIRISTECH 8 DIP & DAB 5PK","35.00","10.83"
"MIRCR","MIRROR CASE - FOLDING","9.50","3.50"
"ZIP1607","ZIPPO SLIM STREET CHROME","64.99","22.93"
"ZIP49113","ZIPPO STREET ACE OF SPADES","84.99","31.19"
"ZIP65826","ZIPPO BUTANE INSERT SNGL","59.99","26.06"
"SP475","RAW CONNOISSEUR BLK 1 1/4+TIPS","6.50","2.48"
"           80395","SMOK LP1 0.8-1.2OHM COIL 5PK","30.00","14.55"
"","SMOK LP1 0.8-1.2OHM COIL SNGL","7.50","4.70"
"          217744","SATISFYER SAMPLE","20.00","15.00"
"MOD-VAP-LUXEQ","VAPORESSO LUXE Q KIT","49.99","24.30"
"COI-VAP-LUXEQ-08","VAPORESSO LUXEQ 0.8-1.2OHM 2PK","15.00","6.04"
"","VAPORESSO LUXEQ 0.8-1.2OHM SNG","10.00","3.12"
"A034","WHISKY STONES 6PK","14.99","7.50"
"QE001","QUICK-EZE TABS","3.00","2.05"
"          140161","JACK RABBIT PETITE THRUSTING","126.99","44.23"
"          225496","SHARE SAT GAIA REMOTE","104.99","35.50"
"          133008","CARDS 50 POSITIONS OF BONDAGE","19.99","6.72"
"          163331","DOMIN8 BOARD GAME","44.99","15.87"
"          242106","JD BIOGLIDE ANAL LUBE 80ML","33.99","11.81"
"          134519","DJ ORALOVE STRAWBERRY & MINT","24.99","8.20"
"          242104","JD BIOGLIDE ANAL LUBE 150ML","34.99","12.32"
"          210292","NAUGHTY BATH BOMB","12.99","3.95"
"          139087","JACK RABBIT ONE TOUCH VIBE","114.99","39.77"
"          165002","JACK RABBIT PETITE VIBE","74.99","26.69"
"          140373","LET'S GET TRASHED GAME","34.99","13.58"
"          101123","FETISH WEDDING NIGHT KIT","88.99","30.95"
"          139280","CAL STUD BENDIE CURVY VIBE","80.99","28.08"
"            6669","PD POTENT DEVELOPER PUMP","53.99","18.50"
"          165316","CYBERSKIN PENTHOUSE VIBE P&A","199.99","72.69"
"          130003","JO H2O WARMING LUBE 60ML","26.99","9.37"
"          165865","CYBERSKIN VIRTUAL PUSSY","109.99","38.85"
"          197794","CAL GOLD BULLET","21.99","7.46"
"          216823","DJ JAPANESE SILICONE CUFFS LRG","49.99","17.74"
"          207323","VULCAN H2O/ICE STROKER ASST.","54.99","18.20"
"           87245","VULCAN RIPE ANUS","33.99","11.73"
"          242131","JD AQUAGLIDE ANAL LUBE 100ML","27.99","9.50"
"          140034","SCREAMING O OHARE VIBE RING","59.99","20.70"
"            3280","PJUR MY GLIDE LUBE 100ML","69.99","24.45"
"           95396","CARDS SEX! INTERNATIONAL","24.99","7.93"
"          107265","FETISH MINI LUV JEWELED PLUG","49.99","16.77"
"","VUSE EPOD 2 DEVICE + MINT PODS","14.99","9.12"
"          242118","JD SLICK'N'SLIDE LUBE 20ML","14.99","5.12"
"          157834","SEX TOY SEDUCTIONS GAME","59.99","21.60"
"           95342","CARDS BEDROOM COMMANDS","19.99","7.28"
"          242187","JD CLITORIX CREAM 40ML","39.99","14.03"
"          242183","JD PENISEX CREAM 40ML","34.99","12.85"
"          210657","ZOLO BACKDOOR STROKER W VIBE","74.99","25.83"
"          140100","SWISS NAVY ANAL LUBE 59ML","32.99","11.21"
"           95641","COUPLES WATERPROOF KIT","66.99","23.31"
"          172252","CAL ECLIPSE WL PROBE","109.99","38.00"
"VX027","BOUNDLESS CFC 2.0 SCREENS 2PK","9.99","3.11"
"VX033","BOUNDLESS CFX SCREENS 2PK","9.99","3.11"
"VX021","BOUNDLESS CFC 2.0 MOUTHPIECE","19.99","7.20"
"VX029","BOUNDLESS CFX MOUTHPIECE","19.99","7.20"
"VX023","BOUNDLESS CFC 2.0 WP ADAPTOR","19.99","8.25"
"           13305","RAW CON 1 1/4 + PRE-ROLLED TIP","7.50","2.37"
"           80398","SMOK NORD 4 80W KIT","64.99","39.13"
"           80399","SMOK NORD 4 EMPTY RPM POD 3PK","15.00","6.09"
"","SMOK NORD 4 EMPTY RPM POD SNGL","7.50","2.28"
"           80397","SMOK NOVO 4 EMPTY POD 3PK","15.00","5.65"
"","SMOK NOVO 4 EMPTY POD SNGL","7.50","2.20"
"RD421","PDX PIPEDREAM FF ALL 3 HOLES","87.99","30.60"
"PD1654","PIPEDREAM WALL B DELUXE BEAVER","79.99","28.00"
"CN-712357806","STUNT WORX SOP PUSSY PUMP","71.99","25.00"
"PD1998","CLASSIX PERFORM COCKRING SET","25.99","9.00"
"P-10","GIANT PECKER APRON","59.99","26.00"
"           83521","VAPORESSO LUXE PM40 KIT","64.99","29.95"
"           83522","VAPORESSO LUXE PM40 POD 2PK","12.50","6.18"
"","VAPORESSO LUXE PM40 POD SNGL","7.50","3.09"
"","AIRISTECH 8 DIP & DAB SNGL","10.00","2.83"
"BGP09","POUCH HORNET TOBACCO","29.99","8.70"
"AC325","STASH BOX WOODEN SMALL","29.99","10.87"
"YD1101","STASH BOX WOODEN MEDIUM","34.99","13.04"
"AC324","STASH COOKIE BOX","34.99","13.04"
"","STASH BOX WOODEN LARGE","39.99","13.04"
"BM155","BM HIGH MALT BREWBLEND 50 1KG","20.90","11.00"
"           83523","VAPORESSO GTX 0.6-0.8OHM 5PK","25.00","13.20"
"","VAPORESSO GTX 0.6-0.8OHM SNGL","7.50","2.45"
"          210090","PDX FRESHMAN FUCKSLUT","39.99","13.80"
"          251565","SATISFYER TEASER","94.99","32.69"
"          251258","SATISFYER LOLLI PLUG 2","119.99","42.07"
"          251557","SATISFYER CANDY CANE","89.99","31.11"
"          243782","SATISFYER SIGNET RING","114.99","40.89"
"          251558","SATISFYER HIGH FLY","69.99","22.95"
"          248080","SATISFYER DUAL PLEASURE","124.99","42.95"
"          251582","SATISFYER TWIRLING FUN/DEL","92.99","32.25"
"          243332","OUCH INTRO BONDAGE KIT","43.99","15.23"
"           65913","FETISH HEAVY DUTY HOGTIE KIT","53.99","18.75"
"          196430","PDX ELITE ASS-GASM KIT","169.99","58.90"
"          242614","WEEKEND IN BED KIT","118.99","41.22"
"          197202","CAL PERFORMANCE KIT","50.99","17.62"
"          157923","CAL HERS G-SPOT KIT","79.99","27.73"
"            5794","MANHANDLER DILDO W HANDLE","53.99","18.78"
"           20402","BASIX FAT BOY","56.99","19.59"
"          196987","FIRST TIME SOLO EXCITER","66.99","23.25"
"            6083","ROYAL RABBIT KIT","86.99","30.00"
"           25100","NEON LUV TOUCH SLENDER G","49.99","17.31"
"          209592","NEON SILICONE WALL BANGER","54.99","18.46"
"          172292","SCREAMING O DANGLE C-RING","41.99","14.45"
"          216895","SATISFYER CHARMING SMILE","139.99","49.24"
"          172420","SCREAMING O O-JOY","20.99","7.28"
"           65833","FLESHLIGHT SPEED BUMP","169.99","59.95"
"           19010","JELLY FANTASY","45.99","15.74"
"          172410","SCREAMING O DOODLE VIBE","32.99","11.41"
"          232113","KINK SS PENIS PLUG","39.99","12.81"
"652134","INCENSE SATYA KARMA 12PC","2.99","0.96"
"          652146","GRINDER LIGHTER CASE","9.50","3.16"
"","VOOPOO DRAG S KIT","94.99","45.68"
"","VOOPOO PNP EMPTY POD 2PK","15.00","6.58"
"","VOOPOO PNP EMPTY POD SNGL","10.00","3.79"
"","VOOPOO TPP EMPTY POD 2PK","16.00","7.32"
"","VOOPOO TPP EMPTY POD SNGL","10.00","4.21"
"","VOOPOO TPP POD TANK","39.99","18.23"
"","VOOPOO PNP POD TANK","29.99","15.12"
"ZIP49260","ZIPPO SKULL CLOVER","84.99","31.19"
"ZIPBOXZ","ZIPPO WOODEN GIFT BOX","64.99","33.00"
"SC128","SCALES ES-600 600G X 0.1G","29.99","9.50"
"","TMC SALTS E-LIQUID 30ML","27.50","11.30"
"GRSPLAT-020","SPLAT! E-JUICE 30ML","20.00","4.35"
"            2750","WINEXPERT CLS CHARDONNAY 8LT","109.99","51.72"
"           10191","GRAINFATHER G30","1185.00","798.95"
"41066K","MJ PORTABLE KEG DISPENSING KIT","349.99","104.52"
"           10690","MJ HOP SPIDER","74.99","30.56"
"","BBS BEER SNORKEL SINGLE","34.99","17.37"
"","BBS BEER SNORKEL DOUBLE","54.99","26.08"
"          246847","CANDLE SHARE SAT MASSAGE","24.99","9.83"
"          130005","JO H2O WARMING LUBE 120ML","39.99","14.28"
"           95848","PJUR WB COMF ANAL GLIDE 100ML","69.99","24.45"
