SUPPCODE,DESC,PRICE1,LSTCST
"ZIP28280","ZIPPO DIAMOND MESH BRUSHED CHR","89.99","35.09"
"ZIP28129","ZIPPO CHAMELEON","94.99","36.69"
"ZIP151","ZIPPO SPECTRUM","114.99","45.87"
"ZIP20493","ZIPPO SLIM SPECTRUM","99.99","38.07"
"ZIP28309","ZIPPO ZIPPER FLAME BLACK MATTE","94.99","37.15"
"ZIP28326","ZIPPO ZIPPER BLACK ICE","99.99","45.43"
"ZIP28433","ZIPPO GALAXY BLACK MATTE","89.99","37.15"
"ZIP28070","ZIPPO JIM BEAM 1935 REPLICA","124.99","55.76"
"ZIP355","ZIPPO ULTRALITE BLACK","79.99","30.96"
"ZIP24710","ZIPPO BLACK MATTE","94.99","32.11"
"ZIP24013","ZIPPO CUT GLASS","79.99","30.00"
"ZIP28448","ZIPPO POLE DANCER HPC","94.99","40.37"
"ZIP28293","ZIPPO BEER GLASS HPC","99.99","41.28"
"ZIP28269","ZIPPO PLAYBOY BRUSHED CHROME","99.99","39.63"
"ZIP24472","ZIPPO YING & YANG BLK MATTE","99.99","34.99"
"ZIP24717","ZIPPO BULLET HOLE TOFFEE","99.99","39.63"
"ZIP28438","ZIPPO BONY FINGERS SALUTE","94.99","36.69"
"ZIP28285","ZIPPO SPIDER WEB BRUSHED CHR","89.99","37.15"
"ZIP28283","ZIPPO HAND PRINT BRUSH CHROME","89.99","35.09"
"ZIP28308","ZIPPO FLAMING FIST BLK MATTE","89.99","37.15"
"ZIP28044","ZIPPO FLAMING JOLLY ROGER","89.99","37.15"
"ZIP28318","ZIPPO CAUTION RESTRICTED AREA","89.99","37.15"
"ZIPGS205","ZIPPO GIFT SET - SATIN CHROME","89.99","30.06"
"           45156","VH/MM CITRIC ACID 100G","7.99","2.85"
"           45224","VH ASCORBIC ACID 25G","3.80","1.64"
"           45168","VH TARTARIC ACID 100G","12.99","5.82"
"           45174","VH PECTINASE 75G","10.99","3.53"
"           45164","VH WINE STABILISER 50G","9.99","5.57"
"           45123","VH BENTONITE 100G","5.40","2.66"
"           45230","VH WINE NUTRIENT 100G","9.99","3.97"
"           55000","BEER & WINE SWEETENER 60G","5.40","2.78"
"           55102","CAMPDEN TABLETS 50PK","7.99","4.50"
"           45206","YEAST ACTIVATOR TABLETS 10'S","4.90","1.87"
"           45182","VH TANNIN 25G","10.99","4.96"
"           40154","MJ ENHANCER NO.20 1KG","11.99","6.54"
"           40189","MJ ENHANCER ENG BITTER NO.70","11.99","4.38"
"           40183","MJ ENHANCER NZ LAGER NO.50 1KG","11.99","6.58"
"           40192","MJ ENHANCER NZ DRAUGHT 1KG","13.99","8.88"
"           40152","MJ GEMDEX BOOSTER 1KG","7.50","2.89"
"           55005","LIQUID BREWING SUGAR 1KG","14.99","4.75"
"           40629","MJ FINISHING HOPS FUGGLES 15G","8.99","4.21"
"           40653","MJ FINISHING HOPS CASCADE 15G","7.99","4.02"
"           40630","MJ FINISHING HOPS GOLDINGS 15G","7.99","3.13"
"           40631","MJ FINISHING HOPS HALLERTAU","7.99","4.02"
"           40119","MJ DARK UNHOP SPRAYMALT 500G","14.99","7.51"
"10128","BLACK ROCK LIGHT 1.7KG","21.99","14.33"
"           10111","BLACK ROCK WHEAT MALT 1.7KG","24.99","14.33"
"10127","BLACK ROCK DARK MALT 1.7KG","21.99","12.00"
"           40530","BLACK PORTER GRAIN 1KG","15.50","6.58"
"           40536","MJ CHOCOLATE MALT GRAIN 1KG","15.50","6.58"
"           40534","MJ ENGLISH PALE ALE GRAIN 1KG","12.50","5.56"
"           40535","BROWN MALTED GRAIN 1KG","15.50","8.10"
"           40529","MJ LIGHT/LAGER GRAIN 1KG","17.50","8.10"
"           45124","MJ ISINGLASS FININGS 100ML","4.50","2.23"
"           55141","MJ COLD WATER DETERGENT 25G","2.99","0.84"
"           55100","HS NO RINSE STERILISER 25G","2.99","1.09"
"","IODOPHOR BTF SANITIZER 118.3ML","7.99","3.50"
"T150","FIRST STEP THC SELF-TESTER KIT","20.00","9.50"
"","ADSORBA PIPE FILTERS 30PK","9.00","2.61"
"CIGH-129","SANDA CIG HOLDER & FILTERS","25.00","12.00"
"           10852","FUNNEL PIECES $25.00","25.00","2.15"
"","DR GRABOW PIPE $54.99","54.99","26.09"
"","DR GRABOW PIPE $64.99","64.99","26.09"
"DA022HG","GRINDER ELECTRIC BUDDIES ALUM","30.00","4.35"
"            3220","TOBACCO/HERB PIPE 40.00","40.00","7.50"
"12950","TOBACCO/HERB PIPE 45.00","45.00","6.52"
"GSP-02","TOBACCO/HERB PIPE 50.00","50.00","10.00"
"","MOTIVE BULLET","40.99","14.00"
"ZIP121399","ZIPPO OUTDOOR UTILITY LIGHTER","59.99","27.52"
"WPC-05","CARDS TWISTED SEX","24.99","10.50"
"","SCALES AMW-PEN10 10 X 0.1G","9.99","5.00"
"SC090","SCALES AWS OZ CLIP","7.50","1.25"
"TL109","CHARCOAL THREE KINGS 40MM 10PK","5.00","1.25"
"AFQL COAL","CHARCOAL AL FAKHER 40MM 10PK","6.00","2.65"
"           99773","TROUSER ENLARGER","14.99","4.50"
"           99164","SEXY PECKER FLASH LIGHT","14.99","5.00"
"","LAYALINA TOBACCO 50G","20.00","7.25"
"FT 01186","PIPE HOLDER","5.00","0.87"
"","TIN CLICK","3.50","1.00"
"","TIGER BRN LEATHER TOBACCO PCH","34.99","10.00"
"","WOODEN ROLL TRAY J1","34.99","10.00"
"","CIG TUBE FILLING MACHINE","9.99","3.48"
"","VAP PLAT 3IN1 HERB CHAMBER","19.99","5.00"
"","AIRISTECH SHIVA MOUTHPIECE","7.50","2.00"
"","SOLARIZER VAPORIZER","75.00","10.00"
"P610","VAPORITE MINI AIR","259.99","125.00"
"P612","VAPORITE SOLO DIGIT","254.99","125.00"
"P606","VAPORITE SOLO","239.99","115.00"
"VG-925","VASE/WATERPIPE $105","105.00","29.00"
"           12630","VASE/WATERPIPE $145","145.00","36.96"
"SKULL AND LEAF","VASE/WATERPIPE $175","175.00","60.87"
"           10810","VASE/WATERPIPE $225","225.00","63.50"
"","GIMP GYMP MASK","59.99","5.00"
"","WHIP TASILLS","29.99","2.02"
"            3907","COCK WITH BALLS GLASS","29.99","13.91"
"           80187","SMOK V8 BABY T6 COILS 5PK","35.00","23.43"
"   8500001011705","PARTAGAS SERIES D NO.4 A/T","106.99","58.97"
"E602","HONEYROSE SPECIAL CIGS 20S","19.50","11.12"
"E605","HONEYROSE GINSENG CIGS 20S","19.50","7.11"
"","VAPORISER 12V PORTABLE","179.99","80.00"
"","HOOKAH 3H CASE 620H $150","150.00","80.00"
"VN44DB","HOOKAH 2H $100 CASE DRAG 250H","100.00","30.00"
"VN6B","HOOKAH 2H $105 CASE 620H","105.00","36.00"
"VN15A","HOOKAH 1H $55 CASE 300H","55.00","19.25"
"VN46A","HOOKAH 1H $20 WITH LIGHT","20.00","7.70"
"","HOOKAH 1H $30 PIPE","30.00","11.00"
"A022","YARD GLASS $99.99","99.99","54.99"
"","YARD GLASS 1/2 NZ HAND MADE","59.99","26.00"
"           43728","BUNG SOLID 19MM BLACK","3.50","1.30"
"","BUNG CORK SMALL $2.00","2.00","0.40"
"           45335","BUNG TAPERED CORK 43MM","4.00","0.98"
"           45337","BUNG TAPERED CORK 55MM","5.00","1.24"
"           55552","BUNG W/AIRLOCK HOLE LRG WHITE","9.50","4.57"
"F070","SM CAP BLK RUM 50ML","9.50","3.95"
"           30115","SS TS AUSSIE GOLD RUM 50ML","11.99","6.11"
"           30142","SS TS AUSSIE RED RUM","11.99","6.11"
"           30101","SS TS DARK RUM 50ML","11.99","4.20"
"H302","SM PLANTATION RUM 50ML","9.50","3.95"
"H351","SM CONFEDERATE BOURBON","9.50","3.95"
"H354","SM SOUTH SETLR BOURBN","9.50","3.95"
"           30104","SS TS KENTUCKY BOURBON 50ML","11.99","6.74"
"           30111","SS TS SMOKEY WHISKEY 50ML","11.99","6.74"
"           30114","SS TS SHAMROCK WHISKEY","11.99","6.74"
"           35151","SS TS HERBAL LIQUEUR 50ML","12.99","6.12"
"           35113","SS TS MELON LIQEUER 50ML","12.99","7.21"
"           35132","SS TS MANGO LIQEUER 50ML","12.99","4.80"
"           35125","SS TS HOT CINNAMON SCHNAPPS 50","12.99","7.21"
"           35124","SS TS BUTTERSCOTCH SCHNAPPS 50","12.99","7.49"
"           35119","SS TS BLACKBERRY SCHNAPPS 50ML","12.99","4.80"
"           35137","SS TS APPLE SCHNAPPS 50ML","12.99","5.64"
"           35123","SS TS STRAWBERRY SCHNAPPS 50ML","12.99","6.15"
"           35140","SS TS FEIJOA SCHNAPPS 50ML","12.99","5.64"
"H3014","SU KIWI VODKA","5.70","2.75"
"H3010","SU FEIJOA VODKA 50ML","7.50","3.00"
"H3013","SU PASSION VODKA 50ML","5.70","2.50"
"           30120","SS TS WHISKEY PROFILE A 50ML","11.99","4.05"
"           30121","SS TS WHISKEY PROFILE B 50ML","11.99","4.96"
"           30122","SS TS WHISKEY PROFILE C 50ML","11.99","4.05"
"           30127","SS TS WHISKEY PROFILE D 50ML","11.99","4.05"
"           35100","SS TS AMARETTO 50ML","12.99","6.80"
"           35135","SS TS RUM LIQUEUR 50ML","12.99","6.80"
"           35106","SS TS BLACK SAMBUCA 50ML","12.99","7.49"
"           30103","SS TS FRENCH BRANDY 50ML","11.99","6.48"
"           35112","SS TS ITALIANO 50ML","12.99","7.49"
"           30146","SS TS NAPOLEON BRANDY 50ML","11.99","6.48"
"H353","SU DRY GIN 50ML","9.50","3.95"
"F150","SU OUZO 50ML","7.50","3.95"
"           30125","SS PR PEAT SMOKE 50ML","11.99","5.53"
"           30112","SS DISTILLING CONDITIONER","6.99","3.15"
"           30108","SS PR MELLOW OAK 50ML","11.99","6.74"
"           30110","SS GLYCERINE 50ML","6.99","3.32"
"H051","SU TURBO PURE 50ML","6.90","3.50"
"H413","GM GRANDE VS BRANDY 40ML","9.50","8.00"
"H925","HERITAGE BOMBAY SPECIAL GIN","9.20","4.50"
"H929","HERITAGE MULLED WINE MIX","9.20","5.00"
"H919","HERITAGE PIMMS NO1 MIX","8.30","4.50"
"P106","HERITAGE COCO RUM 125ML","8.30","3.50"
"H2509","SU CREAMY SEX 375ML","10.00","5.25"
"           30389","SS ICON STH SMOOTH LIQ 330ML","13.90","6.66"
"           30396","SS NERO DI CALABRIA POUCH","9.50","3.87"
"           30383","SS ICON HERBAL LIQUEUR","12.90","4.30"
"           30392","SS ICON COFFEE MARIA LIQUEUR","12.90","4.30"
"           31154","SS CL AMERICAN BOURBON 1LT","7.50","3.35"
"           31160","SS CL JAMAICAN DARK RUM 1LT","7.50","3.35"
"           50142","SS Z CARBON UNIVERSAL 205GM","10.99","4.36"
"H207","SM CARBON CR SS 50GM","6.20","3.00"
"S233","SM REFLUX CARBON 50GM","4.50","3.00"
"S232","SM FINISHING CARBON 50G","4.50","2.00"
"S231","SM PRIMARY CARBON 50G","6.20","3.00"
